Node_name	Node_name_B	Score
YJL099W	YNL192W	770
YJL099W	YBR023C	996
YPR101W	YKR086W	977
YPR101W	YLR117C	999
YJR016C	YJR148W	998
YJR016C	YGL026C	916
YJR016C	YPR163C	836
YDL126C	YNL040W	901
YDL126C	YKL213C	997
YDR273W	YNL225C	788
YBR127C	YJR121W	945
YER111C	YKR091W	902
YER111C	YNR009W	872
YPR163C	YPR010C	982
YPR163C	YMR290C	986
YPR163C	YBR233W	758
YPR163C	YJR016C	836
YBL078C	YFR021W	999
YBL078C	YLR025W	950
YBL078C	YDL234C	937
YNL325C	YFR021W	992
YNL325C	YMR065W	809
YLR019W	YNL217W	908
YPL267W	YPL256C	837
YBR227C	YGR286C	816
YBR227C	YIL022W	739
YBR227C	YDR232W	781
YBR227C	YPL134C	810
YOR063W	YMR290C	984
YOR063W	YDR188W	920
YBR023C	YOL003C	860
YBR023C	YJL099W	996
YDR035W	YGL148W	941
YCR017C	YGL027C	847
YKL028W	YML015C	946
YKL028W	YBR154C	998
YLR072W	YEL013W	853
YJR084W	YER021W	907
YPL269W	YDL013W	907
YPL269W	YNL225C	708
YJR072C	YDR527W	838
YER058W	YPL132W	795
YNL035C	YCR057C	955
YPL134C	YBR227C	810
YPL134C	YIL098C	971
YER019W	YKR031C	940
YER019W	YLR259C	896
YJR142W	YGR144W	888
YJR132W	YPR010C	917
YJR132W	YPL125W	939
YMR257C	YDL044C	864
YIL019W	YMR290C	759
YIL019W	YJR002W	992
YMR201C	YDR004W	798
YMR201C	YOR217W	910
YMR201C	YML021C	844
YMR201C	YDR155C	904
YMR201C	YEL037C	998
YMR201C	YMR202W	801
YMR202W	YLR228C	921
YMR202W	YMR201C	801
YPL263C	YPR010C	918
YIL098C	YPL134C	971
YDL222C	YEL063C	790
YDL222C	YBL029C-A	706
YKL220C	YER145C	832
YJL117W	YGR233C	853
YLR025W	YIL162W	720
YLR025W	YBL078C	950
YMR203W	YIL022W	999
YMR203W	YMR002W	952
YHR161C	YOR327C	946
YLR380W	YKR031C	899
YLR380W	YJL145W	937
YKR025W	YPR010C	854
YKR025W	YBR154C	999
YPR159W	YGL027C	933
YPR159W	YMR307W	891
YLR192C	YDR091C	992
YLR192C	YGR054W	717
YDR295C	YDR155C	900
YDR295C	YPR023C	906
YDR295C	YNL309W	930
YDR188W	YFL004W	734
YDR188W	YLR259C	911
YDR188W	YOR063W	920
YDR188W	YOR281C	956
YMR065W	YNL325C	809
YOR281C	YDR183W	969
YOR281C	YDR188W	956
YDR286C	YDL027C	931
YDL234C	YML001W	996
YDL234C	YFL038C	968
YDL234C	YBL078C	937
YNL185C	YLR179C	870
YNL185C	YNL177C	921
YGR065C	YGR286C	841
YBL016W	YAL016W	942
YBL016W	YBR083W	963
YOR085W	YOR067C	779
YOR085W	YER087C-B	870
YOR085W	YGL027C	991
YOR085W	YOR327C	901
YOR085W	YFL038C	912
YDR181C	YPR023C	900
YJL145W	YNL264C	882
YJL145W	YLR380W	937
YNL030W	YLR384C	802
YNL030W	YHR207C	806
YPR185W	YFR021W	962
YPR185W	YGL180W	999
YPR185W	YPR049C	994
YKL084W	YKL195W	959
YLR117C	YGR074W	999
YLR117C	YKR086W	999
YLR117C	YMR213W	999
YLR117C	YDL209C	999
YLR117C	YGL120C	979
YLR117C	YPR101W	999
YDR461W	YIL015W	948
YNL309W	YNR009W	967
YNL309W	YDR295C	930
